84,Aana Valarthiyal Vanampadiyude Makan,0,,1971,,P. Subramaniam,Malayalam,0,Thikkurisi Sukumaran Nair,http://www.imdb.com/title/tt0258319/?ref_=adv_li_tt
85,Aana Valarthiyal Vanampady,0,,1959,,P. Subramaniam,Malayalam,0,Thikkurisi Sukumaran Nair,http://www.imdb.com/title/tt0252185/?ref_=adv_li_tt
86,Aanachandam,0,,2006,2006-08-04,Jayaraaj,Malayalam,0,"Jayaram,Balachandran Chullikadu,Cochin Hanifa,Salim Kumar,K.P.A.C. Lalitha,Ramya Nambeeshan,Bindu Panikkar,Kaviyoor Ponnamma,Captain Raju,Saikumar,Jagathi Sreekumar,Innocent Vareed Thekkethala,Nedumudi Venu",http://www.imdb.com/title/tt1102158/?ref_=adv_li_tt
87,Aanakkorumma,0,,1985,,M.S. Mani,Malayalam,0,"Adoor Bhasi,Menaka Rajapakse,Ratheesh,Sankaradi",http://www.imdb.com/title/tt0277547/?ref_=adv_li_tt
88,Aanandam,0,Comedy,2016,2016-10-21,Ganesh Raj,Malayalam,0,"Roshan Mathew,Annu,Anarkali,Thomas,Vishak,Siddhi,Arun",http://www.imdb.com/title/tt5998104/?ref_=adv_li_tt
89,Aanaval Mothiram,134,"Action, Comedy, Thriller",1990,,G.S. Vijayan,Malayalam,0,"Sreenivasan,Suresh Gopi,Saranya Ponvannan,K.P.A.C. Sunny,Rizabawa,Jagannathan,Jagathi Sreekumar,Jagannatha Varma,Johny,Ravi Vallathol,Kothuku Nanappan,Gavin Packard",http://www.imdb.com/title/tt0235158/?ref_=adv_li_tt
90,Aanayum Ambariyum,0,,1978,,M.S. Mani,Malayalam,0,,http://www.imdb.com/title/tt0268116/?ref_=adv_li_tt
91,Aankiliyude Tharattu,0,Drama,1987,1987-09-04,Cochin Hanifa,Malayalam,0,"Mammootty,Revathy,Rahman,Shari,Lalu Alex,Jose Prakash,Cochin Hanifa,Meena,Innocent Vareed Thekkethala,Aachi Manorama,Janardanan,Jose,Santhakumari,Ragini",http://www.imdb.com/title/tt0271344/?ref_=adv_li_tt
92,Aaradhika,0,,1973,,B.K. Pottakkad,Malayalam,0,"Adoor Bhasi,Rani Chandra,Jayabharati,Raghavan,Vincent",http://www.imdb.com/title/tt0276750/?ref_=adv_li_tt
93,Aaradi Manninte Janmi,0,,1972,,P. Bhaskaran,Malayalam,0,"Adoor Bhasi,Jayabharati,Madhu,Thikkurisi Sukumaran Nair,Prem Nazir,Sheela",http://www.imdb.com/title/tt0155467/?ref_=adv_li_tt
94,Aaram Thamburan,163,"Action, Drama",1997,,Shaji Kailas,Malayalam,0,"Mohanlal,Kollam Ajith,Alleppey Ashraf,Augustine,Chitra,Cochin Hanifa,Johny,Bobby Kottarakkara,Ganesh Kumar,Kunchan,T.P. Madhavan,Kalabhavan Mani,Pappu,Narendra Prasad,Priya Raman",http://www.imdb.com/title/tt0355169/?ref_=adv_li_tt
95,Aaram Vardil Aabhayandhara Kalakam,0,,1990,,Murali,Malayalam,0,,http://www.imdb.com/title/tt0278273/?ref_=adv_li_tt
96,Aarambham,0,,1982,,Joshi,Malayalam,0,Prem Nazir,http://www.imdb.com/title/tt0315742/?ref_=adv_li_tt
97,Aaranya Kaandum,0,,1975,,Sasikumar,Malayalam,0,"Adoor Bhasi,Thikkurisi Sukumaran Nair,Prem Nazir",http://www.imdb.com/title/tt0278893/?ref_=adv_li_tt
98,Aarathi,0,"Action, Drama, Horror",1981,,P. Chandrakumar,Malayalam,0,"Sukumaran,Seema,Vincent,Ravi Menon,Sankaradi,Jose Prakash,Mala Aravindan,Cochin Hanifa,Santhakumari",http://www.imdb.com/title/tt0333049/?ref_=adv_li_tt
99,Aarattu,0,,1979,,I.V. Sasi,Malayalam,0,,http://www.imdb.com/title/tt0331823/?ref_=adv_li_tt
100,Aardram,0,,1992,,Suresh Unnithan,Malayalam,0,"Jagadish,Murali,Parvathi,Narendra Prasad,Siddique,M.G. Soman,Jagathi Sreekumar,Sukumari,Urvashi,Vijayaraghavan",http://www.imdb.com/title/tt0353149/?ref_=adv_li_tt
101,Aarodum Parayaruthe,0,,1985,,A.J. Rojess,Malayalam,0,,http://www.imdb.com/title/tt0277548/?ref_=adv_li_tt
102,Aarohanam,0,,1980,,A. Sheriff,Malayalam,0,,http://www.imdb.com/title/tt0333050/?ref_=adv_li_tt
103,Aaroodam,0,,1983,,I.V. Sasi,Malayalam,0,"Adoor Bhasi,Lakshmi,Seema",http://www.imdb.com/title/tt0317053/?ref_=adv_li_tt
104,Aarorumariyathe,0,"Comedy, Drama",1984,,K.S. Sethumadhavan,Malayalam,0,"Madhu,Gopi,Karamana Janardanan Nair,Sukumari,Mammootty,Shanker,Nedumudi Venu,Suhasini,Sumitra",http://www.imdb.com/title/tt0268884/?ref_=adv_li_tt
105,Aaru Manikkoor,0,,1978,,Mohan,Malayalam,0,,http://www.imdb.com/title/tt0268118/?ref_=adv_li_tt
106,Aaru Sundarimaarude Katha,150,Drama,2013,2013-05-17,Rajesh K. Abraham,Malayalam,0,"Umang Jain,Shamna Kasim,Raai Laxmi,Lena,Nadia Moidu,Narain,Nandu Poduval,Prathap Pothen,Riya Saira,Zarina Wahab",http://www.imdb.com/title/tt3355434/?ref_=adv_li_tt
107,Aarum Anyaralla,0,,1978,,Jeassy,Malayalam,0,"Adoor Bhasi,Jayabharati,Sukumari",http://www.imdb.com/title/tt0271943/?ref_=adv_li_tt
108,Aarundivide Chodikkan,0,,1986,,Manoj Babu,Malayalam,0,,http://www.imdb.com/title/tt0352135/?ref_=adv_li_tt
109,Aaryankavu Kollasangam,0,,1969,,R. Velappan Nair,Malayalam,0,,http://www.imdb.com/title/tt0256581/?ref_=adv_li_tt
110,Aasha,0,,1982,,Augustin Prakash,Malayalam,0,,http://www.imdb.com/title/tt0344783/?ref_=adv_li_tt
111,Aasha Chakram,0,,1973,,Dr. Seetharamaswamy,Malayalam,0,Thikkurisi Sukumaran Nair,http://www.imdb.com/title/tt0277549/?ref_=adv_li_tt
112,Aasha Deepam,0,,1953,,G.R. Rao,Malayalam,0,,http://www.imdb.com/title/tt0252186/?ref_=adv_li_tt
113,Aashamsakalode,0,,1984,,Vijayan Karote,Malayalam,0,,http://www.imdb.com/title/tt0346471/?ref_=adv_li_tt
