id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1637,Lawyer Vishwanath,0,Musical,1978,1978-11-17,S.D. Lall,Telugu,0,"Sarath Babu,Jayasudha,Satyanarayana Kaikala,Taraka Rama Rao Nandamuri,Pandharibai,Prabhakar Reddy",http://www.imdb.com/title/tt0371788/?ref_=adv_li_tt
1638,Leader,167,Drama,2010,2010-02-19,Sekhar Kammula,Telugu,0,"Rana Daggubati,Richa Gangopadhyay,Priya Anand,Tanikella Bharani,Harshavardhan,Srinivasa Rao Kota,Aahuthi Prasad,Rao Ramesh,Gollapudi Maruthi Rao,Subbaraju,Suhasini,Suman,Udayabhanu",http://www.imdb.com/title/tt1613040/?ref_=adv_li_tt
1639,Leader,0,Action,1995,1995,,Telugu,16000000,"Brahmanandam,Priyaraman,Suman",http://www.imdb.com/title/tt1579615/?ref_=adv_li_tt
1640,Leelamahal Centre,0,Action,2004,2004-12-04,Devi Prasad,Telugu,20000000,"Aryan Rajesh,Sada,Anil,Raghu Babu,Krishna Bhagavan,Brahmanandam,Kalyani,Atul Kulkarni,M.S. Narayana,Pragathi,Dharmavarapu Subramanyam,Suman,Surya",http://www.imdb.com/title/tt1579799/?ref_=adv_li_tt
1641,Legend,168,"Action, Drama",2014,2014-03-28,Boyapati Srinu,Telugu,0,"Nandamuri Bala Krishna,Jagapathi Babu,Radhika Apte,Sonal Chauhan,Armen Grayg",http://www.imdb.com/title/tt3555036/?ref_=adv_li_tt
1642,Letha Manasulu,0,Drama,1966,,R. Krishnan,Telugu,0,"Jamuna,Varalakshmi G.,Relangi Venkatramaiah,Kutti Padmini,Haranath,Padmanabham,Gitanjali,Kanakam",http://www.imdb.com/title/tt0234094/?ref_=adv_li_tt
1643,Letha Manasulu,0,"Drama, Family, Romance",2004,2004-10-01,S.V. Krishna Reddy,Telugu,0,"Srikanth,Gopika,Kalyani,Krishna Chaitanya,Siva Parvathi,Sivaji Raja,Raghunatha Reddy,A.V.S. Subramanyam,Narsing Yadav",http://www.imdb.com/title/tt3433874/?ref_=adv_li_tt
1644,Life Before Wedding,100,"Comedy, Romance",2010,2011-02-18,Praveen Sattaru,Telugu,0,"Monica Day,Nishanti Evani,Chinmayi Ghatrazu,Rohan Gudlavalleti,Sidhu Jonnalagadda,Mangal Murthy,Abhijeeth Poondla,Asif Taj",http://www.imdb.com/title/tt1757796/?ref_=adv_li_tt
1645,Life Is Beautiful,167,"Drama, Romance",2012,2012-09-13,Sekhar Kammula,Telugu,0,"Abijeet Duddala,Kaushik,Sudhakar Komakula,Rashmi Shastry,Zara Shah,Shagun Kaur,Naveen,Amala Akkineni,Shriya Saran,Anjala Zaveri,Surekha Vani,Vijay Deverakonda",http://www.imdb.com/title/tt2298990/?ref_=adv_li_tt
1646,Lifelo Wife,0,Drama,1998,1998,Ramesh Raja,Telugu,15000000,"Brahmanandam,Naresh,Swarnai",http://www.imdb.com/title/tt1579800/?ref_=adv_li_tt
1647,Lilith,90,"Adventure, Horror, Mystery",2016,2016,Prashant Passy Pilley,English,$1.5,"Gariema Shah,Amit Mayne,Joy Anand,Sanjana Agarwal,Mahesh Pawale,Rushikesh Taktode,Kunal Raje,Mayur Gurav,Antra Raut,Paresh More,Amol Golhar,Nikhil Rane,Sachin Talpe,Suraj Zende,Charu Tiwari",http://www.imdb.com/title/tt4946380/?ref_=adv_li_tt
1648,Linga Babu Love Story,0,"Comedy, Drama",1995,,Vamshi,Telugu,0,"Rajendraprasad,Ali,Tanikella Bharani,Brahmanandam,Jayalalitha,Mallikharjunarao,Rallapalli,Sakshi Ranga Rao,Kovai Sarala",http://www.imdb.com/title/tt0251804/?ref_=adv_li_tt
1649,Lingaa,174,"Action, Comedy, Drama",2014,2014-12-12,K.S. Ravikumar,Tamil,0,"Rajinikanth,Anushka Shetty,Sonakshi Sinha,Jagapathi Babu,Dev Gill,Santhanam,Karunakaran,Brahmanandam,Radha Ravi,Vijayakumar,K. Viswanath,Nizhalgal Ravi,R. Sundarajan,Manobala,Balaji",http://www.imdb.com/title/tt4020624/?ref_=adv_li_tt
1650,Lion,143,"Action, Drama, Romance",2015,2015-05-14,Satya Deva,Telugu,0,"Ali,Darbha Appaji Ambarisha,Radhika Apte,Archana,Giri Babu,Siva Balaji,Chalapathi Rao,Chandramohan,Geetha,Indraja,Jayasudha,Srinivasa Rao Kota,Nandamuri Bala Krishna,Trisha Krishnan,Melkote",http://www.imdb.com/title/tt4685968/?ref_=adv_li_tt
1651,Little Soldiers,105,"Family, Musical, Comedy",1996,,Ganga Raju Gunnam,Telugu,0,"Kavya,Aditya Y.S.,Sudhakar,Giribabu,Rohini Hattangadi,Srinivasa Rao Kota,Brahmanandam,Heera Rajgopal,Ramesh Aravind,Banerji,Rallapalli",http://www.imdb.com/title/tt0266727/?ref_=adv_li_tt
1652,Loafer,134,"Action, Drama",2015,2015-12-17,Puri Jagannadh,Telugu,0,"Ali,Brahmanandam,Dhanraj,Nora Fatehi,Pavithra Lokesh,Disha Patani,Krishna Murali Posani,Revathi,Mukesh Rishi,Sapthagiri,Charandeep Surneni,Varun Tej",http://www.imdb.com/title/tt5277266/?ref_=adv_li_tt
1653,Loguttu Perumallukeruka,0,,1966,,K.S.R. Doss,Telugu,0,"Shobhan Babu,Gummadi,Vanisri",http://www.imdb.com/title/tt1321418/?ref_=adv_li_tt
1654,Lokame Kothagaa,0,,2011,,,Telugu,0,,http://www.imdb.com/title/tt5991630/?ref_=adv_li_tt
1655,Lokram Maraali,0,,1973,,K. Balachander,Telugu,0,,http://www.imdb.com/title/tt0154785/?ref_=adv_li_tt
1656,Lorry Driver,0,,1990,,Gopal B.,Telugu,0,"Brahmanandam,Nandamuri Bala Krishna,Sharada,Vijayshanti",http://www.imdb.com/title/tt0361851/?ref_=adv_li_tt
1657,Loukyam,150,"Action, Romance",2014,2014-09-26,Sriwass,Telugu,0,"Raghu Babu,Brahmanandam,Chandramohan,Tottempudi Gopichand,Hamsa Nandini,Krishna Murali Posani,Sampath Raj,Kovai Sarala,Pradeep Singh Rawat,Rakul Preet Singh",http://www.imdb.com/title/tt3982436/?ref_=adv_li_tt
1658,Love Cheyyala Vadda,122,Romance,2016,2016-04-15,S. Noushad,Telugu,10000000,"Karteek Gopasana,Swetha Varma",http://www.imdb.com/title/tt6052720/?ref_=adv_li_tt
1659,Love Journey,0,,2012,,,Telugu,0,"Jai,Shazahn Padamsee",http://www.imdb.com/title/tt5991698/?ref_=adv_li_tt
1660,Love Ke Liye Kuch Bhi Karega,131,"Comedy, Crime, Romance",2001,2001-06-29,Eeshwar Nivas,Hindi,0,"Saif Ali Khan,Fardeen Khan,Aftab Shivdasani,Sonali Bendre,Twinkle Khanna,Johnny Lever,Dalip Tahil,Sharat Saxena,Snehal Dabi,Suresh Bhagwat,Tanikella Bharani,Shubha,Shri Vallabh Vyas,Haidar Ali,Dilip Pavle",http://www.imdb.com/title/tt0287537/?ref_=adv_li_tt
1661,Love Love Love,0,,1984,,K. Balachander,Telugu,0,,http://www.imdb.com/title/tt0154793/?ref_=adv_li_tt
1662,Love Today,0,,2004,2004-02-05,Aprudhan,Telugu,0,"Tanikella Bharani,Uday Kiran,Divya Khosla Kumar,Raghunatha Reddy,Suneel",http://www.imdb.com/title/tt1285126/?ref_=adv_li_tt
